valid,编号,公司1（300m内，由近到远）,公司2,公司3,公司4,公司5,公司6,公司7,公司8,公司9,公司10,公司11
,131,港益织带,伟泰针织,海狮不锈钢,,,,,,,,
,132,港益织带,伟泰针织,海狮不锈钢,,,,,,,,
,133,奥斯汀新材料(张家港)有限公司,云绅工业,张家港亚韵服装有限公司,,,,,,,,
,134,伟泰针织,奥斯汀新材料(张家港)有限公司,,,,,,,,,
,135,江苏兴安建设集团,奥斯汀新材料(张家港)有限公司,张家港市浩然纺织有限公司,,,,,,,,
,136,港益织带,,,,,,,,,,
,137,港益织带,伟泰针织,,,,,,,,,
,138,港益织带,,,,,,,,,,
,139,港益织带,,,,,,,,,,
,140, ,,,,,,,,,,
,141,江苏兴安建设集团,张家港亚太生活用品有限公司,奥斯汀新材料(张家港)有限公司,张家港市浩然纺织有限公司,,,,,,,
,142,江苏兴安建设集团,张家港亚太生活用品有限公司,张家港市浩然纺织有限公司,奥斯汀新材料(张家港)有限公司,,,,,,,
,143,江苏兴安建设集团,张家港亚太生活用品有限公司,张家港市浩然纺织有限公司,江苏兴港建设集团有限公司第三分公司,,,,,,,
,144,江苏兴安建设集团,张家港亚太生活用品有限公司,张家港市浩然纺织有限公司,江苏兴港建设集团有限公司第三分公司,,,,,,,
,145,江苏兴安建设集团,张家港亚太生活用品有限公司,张家港市浩然纺织有限公司,慧氏纺织,江苏兴港建设集团有限公司第三分公司,,,,,,
,146,江苏兴安建设集团,张家港市浩然纺织有限公司,慧氏纺织,张家港亚太生活用品有限公司,,,,,,,
,147,慧氏纺织,,,,,,,,,,
,148,德丰集团,,,,,,,,,,
,149,德丰集团,张家港市鑫鑫冲压件有限公司,,,,,,,,,
,150,德丰集团,张家港贝尔机械有限公司,张家港市鑫鑫冲压件有限公司,,,,,,,,
,151,慧氏纺织,国泰华丰纺织,张家港市浩然纺织有限公司,,,,,,,,
,152,慧氏纺织,国泰华丰纺织,张家港市浩然纺织有限公司,,,,,,,,
,153,国泰华丰纺织,慧氏纺织,,,,,,,,,
,154,国泰华丰纺织,张家港市浩然纺织有限公司,慧氏纺织,,,,,,,,
,155,中国易华制造三厂,,,,,,,,,,
,156, ,,,,,,,,,,
,157,港益织带,海狮不锈钢,,,,,,,,,
,158,港益织带,海狮不锈钢,,,,,,,,,
,159,港益织带,海狮不锈钢,,,,,,,,,
,160,海狮不锈钢,港益织带,,,,,,,,,
,161,港益织带,海狮不锈钢,,,,,,,,,
,162,海狮不锈钢,港益织带,,,,,,,,,
,163,海狮不锈钢,港益织带,同心纺织,,,,,,,,
,164,海狮不锈钢,港益织带,,,,,,,,,
,165,海狮不锈钢,同心纺织,港益织带,,,,,,,,
,166,海狮不锈钢,港益织带,,,,,,,,,
,167,海狮不锈钢,港益织带,,,,,,,,,
,168,海狮不锈钢,同心纺织,港益织带,,,,,,,,
,169,海狮不锈钢,,,,,,,,,,
,170,海狮不锈钢,,,,,,,,,,
,171,海狮不锈钢,,,,,,,,,,
,172,张家港金利织带有限公司,海陆锅炉,,,,,,,,,
,173,不二制油(张家港)有限公司,高新张铜股份有限公司,张家港市常股工程机械有限公司,,,,,,,,
,174,不二制油(张家港)有限公司,高新张铜股份有限公司,张家港市常股工程机械有限公司,,,,,,,,
,175,不二制油(张家港)有限公司,高新张铜股份有限公司,,,,,,,,,
,176,不二制油(张家港)有限公司,张家港市常股工程机械有限公司,,,,,,,,,
,177,不二制油(张家港)有限公司,高新张铜股份有限公司,,,,,,,,,
,178,不二制油(张家港)有限公司,,,,,,,,,,
,179,不二制油(张家港)有限公司,福源纺织有限公司,长乐针织服饰有限公司,,,,,,,,
,180,不二制油(张家港)有限公司,福源纺织有限公司,长乐针织服饰有限公司,,,,,,,,
,181,长乐针织服饰有限公司,博尔泰贸易有限公司,,,,,,,,,
,182,长乐针织服饰有限公司,不二制油(张家港)有限公司,福源纺织有限公司,,,,,,,,
,183,不二制油(张家港)有限公司,长乐针织服饰有限公司,福源纺织有限公司,,,,,,,,
,184,长乐针织服饰有限公司,福源纺织有限公司,不二制油(张家港)有限公司,华峰电接插元件有限公司(新城路),,,,,,,
,185,不二制油(张家港)有限公司,福源纺织有限公司,长乐针织服饰有限公司,华峰电接插元件有限公司(新城路),江苏优成控股集团有限公司,,,,,,
,186,福源纺织有限公司,长乐针织服饰有限公司,华峰电接插元件有限公司(新城路),不二制油(张家港)有限公司,江苏优成控股集团有限公司,张家港市德亿洲过滤器材有限公司,,,,,
,187,不二制油(张家港)有限公司,高新张铜股份有限公司,中国易华(复兴路),,,,,,,,
,188,中国易华(复兴路),高新张铜股份有限公司,不二制油(张家港)有限公司,江苏华机环保新能源科技有限公司,,,,,,,
,189,江苏华机环保新能源科技有限公司,中国易华(复兴路),,,,,,,,,
,190,华机物流服务中心,张家港斯特尔涂装设备有限公司,龙诚车业(张家港)有限公司,江苏华机环保新能源科技有限公司,,,,,,,
,191,华机物流服务中心,张家港斯特尔涂装设备有限公司,龙诚车业(张家港)有限公司,新中环保(振兴路),,,,,,,
,192,华机物流服务中心,张家港斯特尔涂装设备有限公司,龙诚车业(张家港)有限公司,新中环保(振兴路),,,,,,,
,193,华机物流服务中心,张家港斯特尔涂装设备有限公司,新中环保(振兴路),龙诚车业(张家港)有限公司,张家港孚冈汽车部件有限公司,,,,,,
,194,华机物流服务中心,中国易华(复兴路),江苏华机环保新能源科技有限公司,,,,,,,,
,195,中国易华(复兴路),不二制油(张家港)有限公司,江苏优成控股集团有限公司,江苏华机环保新能源科技有限公司,,,,,,,
,196,华机物流服务中心,张家港斯特尔涂装设备有限公司,新中环保(振兴路),江苏优成控股集团有限公司,,,,,,,
,197,华机物流服务中心,江苏优成控股集团有限公司,不二制油(张家港)有限公司,新中环保(振兴路),张家港斯特尔涂装设备有限公司,,,,,,
,198,不二制油(张家港)有限公司,江苏优成控股集团有限公司,新中环保(振兴路),,,,,,,,
,199,不二制油(张家港)有限公司,江苏优成控股集团有限公司,,,,,,,,,
,200,不二制油(张家港)有限公司,江苏优成控股集团有限公司,华峰电接插元件有限公司(新城路),福源纺织有限公司,,,,,,,
,201,同心纺织,长乐针织服饰有限公司,福源纺织有限公司,大平金属制品,,,,,,,
,202,长乐针织服饰有限公司,同心纺织,福源纺织有限公司,大平金属制品,华峰电接插元件有限公司(新城路),,,,,,
,203,长乐针织服饰有限公司,同心纺织,福源纺织有限公司,华峰电接插元件有限公司(新城路),大平金属制品,张家港市易华塑料有限公司,,,,,
,204,华峰电接插元件有限公司(新城路),福源纺织有限公司,长乐针织服饰有限公司,张家港市易华塑料有限公司,张家港市德亿洲过滤器材有限公司,同心纺织,江苏优成控股集团有限公司,大平金属制品,,,
,205,同心纺织,大平金属制品,海狮不锈钢,长乐针织服饰有限公司,,,,,,,
,206,同心纺织,大平金属制品,张家港市易华塑料有限公司,长乐针织服饰有限公司,,,,,,,
,207,同心纺织,大平金属制品,长乐针织服饰有限公司,张家港市易华塑料有限公司,福源纺织有限公司,,,,,,
,208,同心纺织,大平金属制品,张家港市易华塑料有限公司,长乐针织服饰有限公司,华峰电接插元件有限公司(新城路),福源纺织有限公司,,,,,
,209,张家港市易华塑料有限公司,同心纺织,大平金属制品,华峰电接插元件有限公司(新城路),长乐针织服饰有限公司,福源纺织有限公司,张家港市德亿洲过滤器材有限公司,,,,
,210,张家港市易华塑料有限公司,大平金属制品,同心纺织,张家港市德亿洲过滤器材有限公司,华峰电接插元件有限公司(新城路),江苏怡成屏障科技有限公司,福源纺织有限公司,,,,
,211,江苏怡成屏障科技有限公司,张家港市德亿洲过滤器材有限公司,张家港市易华塑料有限公司,国锋纺织,张家港新宇纺织印染有限公司,张家港孚冈汽车部件有限公司,海力电路板公司,华峰电接插元件有限公司(新城路),江苏优成控股集团有限公司,新中环保(振兴路),
,212,张家港市德亿洲过滤器材有限公司,国锋纺织,华峰电接插元件有限公司(新城路),张家港孚冈汽车部件有限公司,江苏优成控股集团有限公司,张家港市易华塑料有限公司,新中环保(振兴路),江苏怡成屏障科技有限公司,张家港新宇纺织印染有限公司,海力电路板公司,福源纺织有限公司
,213,张家港孚冈汽车部件有限公司,新中环保(振兴路),张家港斯特尔涂装设备有限公司,华机物流服务中心,国锋纺织,海力电路板公司,江苏优成控股集团有限公司,张家港市德亿洲过滤器材有限公司,张家港新宇纺织印染有限公司,,
,214,张家港斯特尔涂装设备有限公司,华机物流服务中心,张家港孚冈汽车部件有限公司,新中环保(振兴路),海力电路板公司,龙诚车业(张家港)有限公司,国锋纺织,神龙钢业,斜桥工业集团,,
